data_source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,country_code,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Argentina,ARG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.3,25.7
Bolivia,BOL,0,0,0,0,0,0,0,0,0,0,0,0,0,66.4,63.1,63.3,0,63.1,59.6,59.9,60.1,57.3,51.3,0,45.1,43.3,38.9,39.1,38.6,39.5,0
Brazil,BRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.7,23.3,24.9,22.4,21,17.3,16.1,14.1,13.3,0,11.1,9,8.9,7.4,8.7,0,0
Chile,CHL,45.1,0,0,38.6,0,32.8,0,27.7,0,23.2,0,21.6,0,20.2,0,0,18.7,0,0,29.1,0,0,25.3,0,22.2,0,14.4,0,11.7,0,8.6
Colombia,COL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.7,48,47.4,45,0,0,42,40.3,37.2,34.1,32.7,30.6,28.5,27.8,28,26.9
Ecuador,ECU,0,0,0,0,0,0,0,0,0,0,0,0,0,64.4,54.9,0,49.9,44.6,42.2,37.6,36.7,35.1,36,32.8,28.6,27.3,25.6,22.5,23.3,22.9,21.5
Paraguay,PRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.7,51.4,48.8,44.9,48.9,45.3,43.2,41.6,39,37,31.4,28,27.2,26.6,28.9,26.4
Peru,PER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.7,55.6,49.2,42.4,37.3,33.5,30.8,27.8,25.8,23.9,22.7,21.8,20.7,0
Uruguay,URY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.5,29.6,24.2,21,18.5,13.7,12.4,11.5,9.7,9.7,9.4,7.9
Venezuela,VEN,0,0,0,0,0,0,0,0,0,0,55.6,49,42.8,41.6,31.1,41.1,54,53.1,42.4,33.1,27.5,27.7,26.4,26.8,27.4,27.2,29.4,29.5,33.1,0,0
